Date,Open,High,Low,Close,Adj Close,Volume
1996-04-18,2575.760010,2575.760010,2575.760010,2575.760010,2575.760010,0
1996-04-19,2575.580078,2575.580078,2575.580078,2575.580078,2575.580078,0
1996-04-22,2572.669922,2572.669922,2572.669922,2572.669922,2572.669922,0
1996-04-23,2564.300049,2564.300049,2564.300049,2564.300049,2564.300049,0
1996-04-24,2561.989990,2561.989990,2561.989990,2561.989990,2561.989990,0
1996-04-25,2571.030029,2571.030029,2571.030029,2571.030029,2571.030029,0
1996-04-26,2568.429932,2568.429932,2568.429932,2568.429932,2568.429932,0
1996-04-29,2551.389893,2551.389893,2551.389893,2551.389893,2551.389893,0
1996-04-30,2547.429932,2547.429932,2547.429932,2547.429932,2547.429932,0
1996-05-01,null,null,null,null,null,null
1996-05-02,2569.830078,2569.830078,2569.830078,2569.830078,2569.830078,0
1996-05-03,2557.510010,2557.510010,2557.510010,2557.510010,2557.510010,0
1996-05-06,2568.310059,2568.310059,2568.310059,2568.310059,2568.310059,0
1996-05-07,2582.199951,2582.199951,2582.199951,2582.199951,2582.199951,0
1996-05-08,2575.669922,2575.669922,2575.669922,2575.669922,2575.669922,0
1996-05-09,2574.909912,2574.909912,2574.909912,2574.909912,2574.909912,0
1996-05-10,2570.810059,2570.810059,2570.810059,2570.810059,2570.810059,0
1996-05-13,2577.489990,2577.489990,2577.489990,2577.489990,2577.489990,0
1996-05-14,2592.669922,2594.669922,2592.139893,2593.909912,2593.909912,0
1996-05-15,2609.699951,2609.699951,2609.699951,2609.699951,2609.699951,0
1996-05-16,null,null,null,null,null,null
1996-05-17,2616.639893,2616.639893,2616.639893,2616.639893,2616.639893,0
1996-05-20,2632.540039,2632.540039,2632.540039,2632.540039,2632.540039,0
1996-05-21,2655.530029,2655.530029,2655.530029,2655.530029,2655.530029,0
1996-05-22,2664.479980,2664.479980,2664.479980,2664.479980,2664.479980,0
1996-05-23,2686.959961,2687.360107,2682.939941,2685.050049,2685.050049,0
1996-05-24,2680.850098,2680.850098,2680.850098,2680.850098,2680.850098,0
1996-05-27,null,null,null,null,null,null
1996-05-28,2684.699951,2684.699951,2684.699951,2684.699951,2684.699951,0
1996-05-29,2681.040039,2681.040039,2681.040039,2681.040039,2681.040039,0
1996-05-30,2659.899902,2659.899902,2659.899902,2659.899902,2659.899902,0
1996-05-31,2677.020020,2677.020020,2677.020020,2677.020020,2677.020020,0
1996-06-03,2678.060059,2678.060059,2678.060059,2678.060059,2678.060059,0
1996-06-04,2686.070068,2686.120117,2686.070068,2686.120117,2686.120117,0
1996-06-05,2732.510010,2732.510010,2732.510010,2732.510010,2732.510010,0
1996-06-06,2733.909912,2733.909912,2733.909912,2733.909912,2733.909912,0
1996-06-07,2737.699951,2737.699951,2737.699951,2737.699951,2737.699951,0
1996-06-10,2748.560059,2748.560059,2748.560059,2748.560059,2748.560059,0
1996-06-11,2747.250000,2747.250000,2747.250000,2747.250000,2747.250000,0
1996-06-12,2760.780029,2760.780029,2760.780029,2760.780029,2760.780029,0
1996-06-13,2766.409912,2766.409912,2766.409912,2766.409912,2766.409912,0
1996-06-14,2748.000000,2748.000000,2748.000000,2748.000000,2748.000000,0
1996-06-17,2748.250000,2748.250000,2748.250000,2748.250000,2748.250000,0
1996-06-18,2760.919922,2760.919922,2760.919922,2760.919922,2760.919922,0
1996-06-19,2765.350098,2765.350098,2765.350098,2765.350098,2765.350098,0
1996-06-20,2765.350098,2765.350098,2765.350098,2765.350098,2765.350098,0
1996-06-21,2797.120117,2797.120117,2797.120117,2797.120117,2797.120117,0
1996-06-24,2830.320068,2830.320068,2830.320068,2830.320068,2830.320068,0
